sr. No,NRCan.Reference,Brand,Model,AEC,Type,Defrost,FreezerLoc,TotalVol,SizeCategory,DoorIce,RefVol,FreezerVol,Ratio,
183,227628,Admiral,LTF2112ARW,515,Refrigerator,Automatic,Top,595.7,10,No,426.9,168.8,0.395408761,
235,365523,Admiral,LTB1502ARW,447,Refrigerator,Automatic,Top,425.4,7,No,305.2,120.2,0.393840105,
262,849932,Admiral,LTF1812ARB,480,Refrigerator,Automatic,Top,513.6,8,No,369,144.6,0.391869919,
14,216736,Amana,ATB1504ARW,447,Refrigerator,Automatic,Top,425.4,7,No,305.2,120.2,0.393840105,
34,222020,Amana,ATB1502AEW,380,Refrigerator,Automatic,Top,425.4,7,No,305.2,120.2,0.393840105,
69,223387,Amana,ATB1830ARW,480,Refrigerator,Automatic,Top,513.6,8,No,369,144.6,0.391869919,
128,226994,Amana,MTF1896AEB,409,Refrigerator,Automatic,Top,513.6,8,No,369,144.6,0.391869919,
145,227590,Amana,ATB2130ARW,515,Refrigerator,Automatic,Top,595.7,10,No,426.9,168.8,0.395408761,
187,276610,Amana,ATB2138AEW,435,Refrigerator,Automatic,Top,595.7,10,No,426.9,168.8,0.395408761,
706,6710664,Amana,ASD2275BR*0*,533,Refrigerator,Automatic,Side,600.88,10,Yes,409.17,191.7,0.468509422,
753,7589622,Amana,ABB1921BR*,441,Refrigerator,Automatic,Bottom,528.67,9,No,366.42,162.25,0.442797882,
944,8975324,Amana,ABB2224BR,470,Refrigerator,Automatic,Bottom,624.95,10,No,442.3,182.64,0.412932399,
1127,9606201,Amana,ART104TFD*0*,332,Refrigerator,Automatic,Top,405.78,6,No,296.19,109.59,0.369998987,
1306,9975803,Amana,ART316TFD*0*,344,Refrigerator,Automatic,Top,452.5,7,No,338.38,114.12,0.337253975,
1444,10017271,Amana,ART308FFD*,366,Refrigerator,Automatic,Top,513.95,8,No,369.81,144.13,0.389740678,
2033,14644560,Amana,AFI2539ER***,565,Refrigerator,Automatic,Bottom,700.55,12,Yes,509.98,190.57,0.373681321,
2682,17004226,Amana,ASI2575FR*0*,566,Refrigerator,Automatic,Side,693.5,12,Yes,433.8,259.7,0.598662978,
2990,11702193,Amana,AMA31**A,423,Compact refrigerator,Partial automatic,Inside,86,1,No,58.9,26.8,0.455008489,
