sr. No,NRCan.Reference,Brand,Model,AEC,Type,Defrost,FreezerLoc,TotalVol,SizeCategory,DoorIce,RefVol,FreezerVol,Ratio
2700,17080945,Arctic King,AWC045AS,347,Celliers domestiques,Automatic,No freezer,126,2,No,126,0,0
2755,17685863,Avantgarde,ABC178SS,440,Celliers domestiques,Automatic,No freezer,164,2,No,164,0,0
1046,16684235,Avanti,WCF281E3SS,229,Celliers domestiques,Automatic,No freezer,79.7,1,No,79.7,0,0
1070,9571866,Avanti,WCR686DZ,362.51,Celliers domestiques,Automatic,No freezer,225,3,No,225.2,0,0
1072,9571869,Avanti,WCR1496SZ,392.56,Celliers domestiques,Automatic,No freezer,392,6,No,392.2,0,0
1074,9571872,Avanti,WCR1386DZ,460.98,Celliers domestiques,Automatic,No freezer,386,6,No,386.3,0,0
1133,9606217,Avanti,WCR1606DZ,399.5,Celliers domestiques,Automatic,No freezer,440,7,No,439.8,0,0
1536,17141296,Avanti,BCA3115S3S,250,Celliers domestiques,Automatic,No freezer,95,1,No,95,0,0
1658,16684227,Avanti,WC3406,259.88,Celliers domestiques,Automatic,No freezer,99,1,No,99,0,0
1967,14082125,Avanti,WCF43S3SD,342.62,Celliers domestiques,Automatic,No freezer,154,2,No,153.9,0,0
2086,14862203,Avanti,WCF143S3ST,600,Celliers domestiques,Automatic,No freezer,437,7,No,437.2,0,0
2090,14862209,Avanti,WCF165S3SS,475,Celliers domestiques,Automatic,No freezer,462,7,No,461.7,0,0
2094,14862216,Avanti,WCF51S3SS,350,Celliers domestiques,Automatic,No freezer,167,2,No,166.5,0,0
2130,16684236,Avanti,WCF282E3SD,290,Celliers domestiques,Automatic,No freezer,79.7,1,No,79.7,0,0
2544,17599032,Avanti,WC24T2P,278,Celliers domestiques,Automatic,No freezer,62.3,0,No,62.3,0,0
2637,16684228,Avanti,WCR5403SS,384.41,Celliers domestiques,Automatic,No freezer,145.6,2,No,145.6,0,0
2638,16684229,Avanti,WCR5404DZD,411.18,Celliers domestiques,Automatic,No freezer,135.9,2,No,135.9,0,0
2641,16684232,Avanti,WCR682SS-2,593.85,Celliers domestiques,Automatic,No freezer,428,7,No,428,0,0
2642,16684233,Avanti,WCR683DZD-2,527.22,Celliers domestiques,Automatic,No freezer,410.3,7,No,410.3,0,0
2646,16684237,Avanti,WCF154S3SD,400,Celliers domestiques,Automatic,No freezer,439.8,7,No,439.8,0,0
2660,16763062,Avanti,WCR506SS,290,Celliers domestiques,Automatic,No freezer,138,2,No,138,0,0
2693,17034330,Avanti,WC52T3SB,390,Celliers domestiques,Automatic,No freezer,147,2,No,147,0,0
2714,17590626,Avanti,WCSE47R3S,330,Celliers domestiques,Automatic,No freezer,157,2,No,157,0,0
2715,17590627,Avanti,WCDE46R3S,370,Celliers domestiques,Automatic,No freezer,153,2,No,153,0,0
2717,16684226,Avanti,WC1500DSS,353.16,Celliers domestiques,Automatic,No freezer,90.6,1,No,90.6,0,0
2724,19455156,Avanti,WC34T2P,355,Celliers domestiques,Automatic,No freezer,83.7,1,No,83.7,0,0
2727,17629332,Avanti,BCA516SS,287.87,Celliers domestiques,Automatic,No freezer,138,2,No,137.5,0,0
2824,16684225,Avanti,WBV19DZ,384.41,Celliers domestiques,Automatic,No freezer,123.5,1,No,123.5,0,0
6,17599027,Brigade,CVWUI1550G*SS,105,Celliers domestiques,Automatic,No freezer,76.7,1,No,76.7,0,0
2723,17599028,Brigade,CVWUI5240G*SS,208,Celliers domestiques,Automatic,No freezer,138.8,2,No,138.8,0,0
2121,14985368,Candor,JC-145B2EQ,424,Celliers domestiques,Automatic,No freezer,140,2,No,140,0,0
2214,14985366,Candor,JC-95E/HC,306.7,Celliers domestiques,Manual,No freezer,95.8,1,No,95.8,0,0
2541,14985365,Candor,JC-62E/H,258.9,Celliers domestiques,Manual,No freezer,61.5,0,No,61.5,0,0
2708,14985367,Candor,JC-115B2E,348,Celliers domestiques,Automatic,No freezer,120,1,No,120,0,0
2878,14985364,Candor,JC-46E/H,341.2,Celliers domestiques,Automatic,No freezer,45.8,0,No,45.8,0,0
57,10300801,Cavavin,C-028WSZ,209,Celliers domestiques,Automatic,No freezer,87,1,No,87,0,0
64,16683813,Cavavin,V-039WDZ,211,Celliers domestiques,Automatic,No freezer,120,1,No,119.5,0,0
729,7507303,Cavavin,CAVA160NSZ,593.85,Celliers domestiques,Automatic,No freezer,428,7,No,428,0,0
735,7507309,Cavavin,CAVA46-1NDZ,411.18,Celliers domestiques,Automatic,No freezer,135.9,2,No,135.9,0,0
850,8317949,Cavavin,CAVA44SDZ,401.14,Celliers domestiques,Automatic,No freezer,137.8,2,No,137.8,0,0
859,8465176,Cavavin,CAVAED53NSSZ,435.24,Celliers domestiques,Automatic,No freezer,150.7,2,No,150.7,0,0
865,8465182,Cavavin,CAVA75BCDZ,383.58,Celliers domestiques,Automatic,No freezer,133.7,2,No,133.7,0,0
866,8465183,Cavavin,CAVAED90NSSZ,515.74,Celliers domestiques,Automatic,No freezer,288.8,4,No,288.8,0,0
1036,9517773,Cavavin,ED-050WSZ,255.5,Celliers domestiques,Automatic,No freezer,137.5,2,No,137.5,0,0
1037,9517774,Cavavin,C-149WSZ,392.56,Celliers domestiques,Automatic,No freezer,392.2,6,No,392.2,0,0
1038,9517775,Cavavin,C-138WDZ,460.98,Celliers domestiques,Automatic,No freezer,386.3,6,No,386.3,0,0
1161,17695545,Cavavin,V-74WBVC,230,Celliers domestiques,Automatic,No freezer,100,1,No,100,0,0
1212,9737349,Cavavin,C-050WSZ,287.87,Celliers domestiques,Automatic,No freezer,138,2,No,137.5,0,0
1215,9737352,Cavavin,C-050WDZ,263.17,Celliers domestiques,Automatic,No freezer,135,2,No,134.6,0,0
